Station ID,Station POI,Source,Latitude,Longitude,Status
"170556","Gadap Town, Karachi","Davis",25.11546,67.35669,"Inactive"
"162416","Baghbanpura Lahore","Davis",31.5809,74.39115,"Active"
"162474","Misri Shah Lahore","Davis",31.5857612,74.3359961,"Active"
"C23","Sadhoke, Gt road","Misol",31.906506,74.233936,"Active"
"164594","TK Farms, Bandot Chakbeli Road","Davis",33.31538,73.01304,"Active"
"164604","Chakri City","Davis",33.289116,72.757072,"Active"
"168729","Lodhran","Davis",29.51258,71.63721,"Active"
"170638","Iqra University  North Campus Karachi","Davis",24.97425,67.04678,"Inactive"
"173079","Burj Lahore","Davis",31.391,74.51608,"Active"
"173126","ARFU Chapu Cholistan","Davis",29.12516,72.20453,"Active"
"199831","Mehran University, Jamshoro","Davis",25.40834,68.26058,"Active"
"199834","Mehran University, Khairpur Mirs","Davis",27.52885,68.74653,"Active"
"175472","Abdul Aziz Burghari Samaro","Davis",25.305013,69.499015,"Active"
"175480","Khoski Agricultural Complex Khoski","Davis",24.615976,69.116264,"Active"
"IPINDI7","Mianwala","WU",33.41,72.3,"Disabled"
"162498","Sohdra Wazirabad","Davis",32.46247,74.18429,"Active"
"164690","Kot Sanduki Burhan","Davis",33.74426,72.64164,"Active"
"191766","Renala Khurd","Davis",30.85693,73.54839,"Inactive"
"168734","Nawan Khoo, Kahror Pakka","Davis",29.57493,71.98763,"Active"
"170712","Daro, Sujawal","Davis",24.77646,68.19989,"Disabled"
"175682","Tangwani, Kashmore District","Davis",28.278612,69.015167,"Active"
"166840","Qasuria Farms, DIkhan Bhakkar Road","Davis",31.7486,70.96601,"Inactive"
"166842","Jhoke Fazal, Bhakkar","Davis",31.628318,70.98331,"Inactive"
"168851","Govt (PST) graduate college, Kamalia","Davis",30.73334,72.64539,"Active"
"178269","Daharki","Davis",27.91916,69.78676,"Active"
"170725","Tando Bhago, Badin","Davis",24.79222,68.95936,"Inactive"
"170765","Latifabad, Hyderabad","Davis",25.39471,68.33813,"Inactive"
"175830","Aminabad","Davis",30.4151,71.44987,"Active"
"174057","Dadyal Azad Kashmir","Davis",33.37309,73.62875,"Active"
"162588","Sarsala Samahani","Davis",33.11208,74.09409,"Inactive"
"166865","Layyah City","Davis",30.957039,70.984802,"Inactive"
"166868","Kot Addu","Davis",30.46919,70.96152,"Active"
"168865","Gojra","Davis",31.1428,72.68042,"Active"
"175970","Fatima AG Solutions Peerowal","Davis",30.3555,72.00043,"Active"
