station_id,location,province
221876,Kot Pindi Das toll plaza,Punjab
160951,"Bhalwal, Sargodha",Punjab
221803,Sial mor,Punjab
169497,Barkhan,Balochistan
169500,"KIlli Murradani, Kohlu",Balochistan
174130,Chak 16M Dunyapur,Punjab
163360,Haroonabad,Punjab
163347,Bahawalnagar City,Punjab
169639,"Quetta Airport, Emaan Housing Society",Balochistan
IKUNRI2,Chak Char,Sindh
165656,Harappa,Punjab
174221,Iqbal Nagar Mian Channu,Punjab
C8,Multan Khurd,Punjab
C9,Dhurnal,Punjab
C10,Dhok Zaman Chakrala,Punjab
165665,Okara City,Punjab
165726,Manga Mandi,Punjab
165732,"Bahria Town , Lahore",Punjab
165757,Lahore DHA Phase 3,Punjab
127500,"Bahria Enclave, Islamabad",Islamabad
128168,Swabi City,KPK
128522,"Ladian, Chakri",Punjab
IISLAMAB22,Banigala WU,Islamabad
IISLAM13,Quaid e Azam University WU,Islamabad
IISLAM9,G-15 WU,Islamabad
221884,Hiran Minar Toll Plaza,Punjab
IPUNJA24,Bassali village WU,Punjab
IISLAM1,Shah House F-10/2 Islamabad,Islamabad
IPUNJA22,"Miana Thub, Zone 5, ISB",Islamabad
IRAWAL3,"Zaraj, ISB",Islamabad
IISLAMAB7,F-11/2 ISLAMABAD WU,Islamabad
IISLAM11,E-11 ISLAMABAD,Islamabad
IPUNJABR2,WESTRIDGE-I Pindi,Punjab
IRAWAL18,"Bahria Town Phase 8, Rawalpindi WU",Punjab
IRAWAL29,"CHAKLALA SCHEME 3, RWP",Punjab
IRAWAL16,"Gulshanabad, Rawalpindi",Punjab
INUSHK12,Nushki,Balochistan
IFEDERAL8,"Bahria Town - Ph.2, RWP",Punjab
IKMILPUR2,Waisa Chach Valley,KPK
IKHYBERP3,Shahbaz Garhi,KPK
IKHYBE2,DANDAO1 Takhtbai,KPK
ILAHOR14,"Lahore Cantt, WU",Punjab
I90582126,Kot Rada Kishan,Punjab
I90582706,"Bilal Farms (8/P), Khanpur Dist RYK",Punjab
ISINDH20,Larkana,Sindh
ISINDH23,"Mirpurkhas, WNPK",Sindh
ISINDH25,Bahria Town Karachi WU,Sindh
IMURID1,"Chak Telian, Muridke",Punjab
ITURBA4,Teaching Hospital Turbat,Balochistan
IKARAC33,Dolmen City,Sindh
IKARAC12,Scheme-33,Sindh
IKARAC25,Saadi Town,Sindh
IKARAC24,Malir Cantt,Sindh
IKARAC17,karachi central,Sindh
ITANDO3,Tando Allahyar,Sindh
IKARAC38,Karachi Airport,Sindh
IJATI2,Sujawal City,Sindh
101361,Mitha Tiwana,Punjab
104536,Islamia University Bahawalpur,Punjab
117090,govtgraduatecollegebhakkar,Punjab
211337,Johar Town Lahore,Punjab
128962,"NUST University, Islamabad",Islamabad
129010,"Mehria Land, Attock City",Punjab
129104,"Shah Allah Ditta, ISB",Islamabad
180025,Kot Gullah,Punjab
180027,Jaranwala City,Punjab
129644,"Karore Village, Kotli Sattian",Punjab
129727,Wahali Zer,Punjab
182269,"Barrier 3 Lalazar Colony, Wah",Punjab
130584,Sir Gojra Mohala Chakwal,Punjab
130787,Pindi Gheb City,Punjab
194398,Jhelum City,Punjab
183871,"Garhi Mali Khel, Peshawar",KPK
144841,Rustam,KPK
131374,Kalabagh City,KPK
147435,"WeatherWalay HQ, I-9/2 Islamabad",Islamabad
131643,Mansehra Shahkheil Garhi,KPK
131893,"Gulraiz Car Chowk, RWP",Punjab
220024,Mitha Tiwana Thal TCF,Punjab
132393,Jalalpur Jattan,Punjab
132465,"PIA Housing Society, Lahore",Punjab
132463,Ferozewala,Punjab
206075,Gujranwala City,Punjab
133029,Muslim Colony Mianwali,Punjab
133035,Nammal University,Punjab
133150,Mailsi City,Punjab
133253,Burewala City,Punjab
133425,Model Town Hasilpur,Punjab
133509,"Gulgasht, Multan city",Punjab
130231,Mirpur city,AJK
134031,Bannu city,KPK
134038,Dera Ismael Khan,KPK
201736,"Shaheen hotel, Fort Monroe",Punjab
129498,Quetta Eastern Bypass,Balochistan
134268,Gulshan-e-Hadeed Karachi,Sindh
134297,PIB Colony Karachi,Sindh
IKARAC41,Sujrani Town PWS WU,Sindh
IISLAM21,I-10 WU,Islamabad
137535,Diamond Cricket Ground G-8/2,Islamabad
137991,Haji Abad Charsadda,KPK
IISLAM25,ISB,Islamabad
IISLAM26,F-8 Islamabad WU,Islamabad
146260,Shimshal Valley,Gilgit-Baltistan
147145,"Kulsoom International, Islamabad",Islamabad
C3,"D-17, Islamabad",Islamabad
147425,"Askari-14, Sec. A, RWP",Punjab
228127,Kot Momin Toll Plaza,Punjab
150067,"Block E, Satellite Town",Punjab
150367,"Farash Town, WW",Islamabad
150967,"Islamia University Bahawalpur, WW",Punjab
131812,"Malian Kalan, Sheikhupura",Punjab
129090,"Gattar, Dina",Punjab
129952,Gujjar Khan,Punjab
142628,"Chak 23, Sargodha",Punjab
139347,"Chitti Shiekhan, Sialkot",Punjab
133500,"Kot Agha Jajjah, Pasrur",Punjab
217831,"Saima Arabian Villas, Surjani, Karachi",Sindh
216612,Chakri Toll Plaza,Punjab
221544,Balkasar Toll Plaza,Punjab
221563,Islamabad toll plaza,Islamabad
221555,Neela dulha,Punjab
221695,Kallar Kahar,Punjab
221726,Bhera,Punjab
221703,Lillah Interchange,Punjab
221746,Salam,Punjab
221873,Ravi Toll Plaza,Punjab
221910,Khanqa Dograh Toll Plaza,Punjab
221938,Pindi Bhattian Toll Plaza,Punjab
