"station_id","location","province"
"160873","Palm Villas, Jhang","punjab"
"163264","Chak Shahazad","punjab"
"C25","Ghauri Garden Islamabad","sindh"
"169407","Lakaband Zhob","balochistan"
"169438","Qilla Saifullah","balochistan"
"169455","Loralai","balochistan"
"C6","F-11/4, Islamabad","unknown"
"221876","Kot Pindi Das toll plaza","unknown"
"160951","Bhalwal, Sargodha","punjab"
"221803","Sial mor","unknown"
"169497","Barkhan","balochistan"
"169500","KIlli Murradani, Kohlu","balochistan"
"174130","Chak 16M Dunyapur","punjab"
"163360","Haroonabad","punjab"
"163347","Bahawalnagar City","punjab"
"169639","Quetta Airport, Emaan Housing Society","balochistan"
"IKUNRI2","Chak Char","sindh"
"165656","Harappa","unknown"
"174221","Iqbal Nagar Mian Channu","punjab"
"C8","Multan Khurd","unknown"
"C9","Dhurnal","unknown"
"C10","Dhok Zaman Chakrala","unknown"
"165665","Okara City","punjab"
"165726","Manga Mandi","punjab"
"165732","Bahria Town , Lahore","punjab"
"165757","Lahore DHA Phase 3","punjab"
"127500","Bahria Enclave, Islamabad","punjab"
"128168","Swabi City","kpk"
"128522","Ladian, Chakri","kpk"
"IISLAMAB22","Banigala WU","sindh"
"IISLAM13","Quaid e Azam University WU","sindh"
"IISLAM9","G-15 WU","sindh"
"221884","Hiran Minar Toll Plaza","sindh"
"IPUNJA24","Bassali village WU","sindh"
"IISLAM1","Shah House F-10/2 Islamabad","sindh"
"IPUNJA22","Miana Thub, Zone 5, ISB","sindh"
"IRAWAL3","Zaraj, ISB","sindh"
"IISLAMAB7","F-11/2 ISLAMABAD WU","sindh"
"IISLAM11","E-11 ISLAMABAD","sindh"
"IPUNJABR2","WESTRIDGE-I Pindi","sindh"
"IRAWAL18","Bahria Town Phase 8, Rawalpindi WU","sindh"
"IRAWAL29","CHAKLALA SCHEME 3, RWP","sindh"
"IRAWAL16","Gulshanabad, Rawalpindi","sindh"
"INUSHK12","Nushki","sindh"
"IFEDERAL8","Bahria Town - Ph.2, RWP","sindh"
"IKMILPUR2","Waisa Chach Valley","sindh"
"IKHYBERP3","Shahbaz Garhi","sindh"
"IKHYBE2","DANDAO1 Takhtbai","sindh"
"ILAHOR14","Lahore Cantt, WU","sindh"
"I90582126","Kot Rada Kishan","sindh"
"I90582706","Bilal Farms (8/P), Khanpur Dist RYK","sindh"
"ISINDH20","Larkana","sindh"
"ISINDH23","Mirpurkhas, WNPK","sindh"
"ISINDH25","Bahria Town Karachi WU","sindh"
"IMURID1","Chak Telian, Muridke","sindh"
"ITURBA4","Teaching Hospital Turbat","sindh"
"IKARAC33","Dolmen City","sindh"
"IKARAC12","Scheme-33","sindh"
"IKARAC25","Saadi Town","sindh"
"IKARAC24","Malir Cantt","sindh"
"IKARAC17","karachi central","sindh"
"ITANDO3","Tando Allahyar","sindh"
"IKARAC38","Karachi Airport","sindh"
"IJATI2","Sujawal City","sindh"
"101361","Mitha Tiwana","sindh"
"104536","Islamia University Bahawalpur","sindh"
"117090","govtgraduatecollegebhakkar","sindh"
"211337","Johar Town Lahore","sindh"
"128962","NUST University, Islamabad","sindh"
"129010","Mehria Land, Attock City","punjab"
"129104","Shah Allah Ditta, ISB","punjab"
"180025","Kot Gullah","ajk"
"180027","Jaranwala City","sindh"
"129644","Karore Village, Kotli Sattian","punjab"
"129727","Wahali Zer","punjab"
"182269","Barrier 3 Lalazar Colony, Wah","punjab"
"130584","Sir Gojra Mohala Chakwal","punjab"
"130787","Pindi Gheb City","punjab"
"194398","Jhelum City","unknown"
"183871","Garhi Mali Khel, Peshawar","unknown"
"144841","Rustam","islamabad"
"131374","Kalabagh City","punjab"
"147435","WeatherWalay HQ, I-9/2 Islamabad","islamabad"
"131643","Mansehra Shahkheil Garhi","punjab"
"131893","Gulraiz Car Chowk, RWP","punjab"
"220024","Mitha Tiwana Thal TCF","ajk"
"132393","Jalalpur Jattan","punjab"
"132465","PIA Housing Society, Lahore","punjab"
"132463","Ferozewala","punjab"
"206075","Gujranwala City","punjab"
"133029","Muslim Colony Mianwali","punjab"
"133035","Nammal University","punjab"
"133150","Mailsi City","punjab"
"133253","Burewala City","punjab"
"133425","Model Town Hasilpur","punjab"
"133509","Gulgasht, Multan city","islamabad"
